Position	Mean
1		31.07
2		31.89
3		32.33
4		31.89
5		32.32
6		31.47
7		29.45
8		31.08
9		26.85
10		29.88
11		23.07
12		31.77
13		29.26
14		34.63
15		36.06
16		35.81
17		37.19
18		36.29
19		33.81
20		34.37
21		35.34
22		36.72
23		36.43
24		36.69
25		38.21
26		30.95
27		37.49
28		38.41
29		35.12
30		31.49
31		30.46
32		36.57
33		36.66
34		36.93
35		37.89
36		37.86
37		35.69
38		33.70
39		33.55
40		35.80
41		29.68
42		35.03
43		36.00
44		32.57
45		33.93
46		35.36
47		37.72
48		37.79
49		37.64
50		31.58
51		30.66
52		33.22
53		35.75
54		37.02
55		37.78
56		28.83
57		35.87
58		30.24
59		34.95
60		36.96
61		37.54
62		37.07
63		37.20
64		37.12
65		34.79
66		36.39
67		27.59
68		30.55
69		30.43
70		35.44
71		35.70
72		30.87
73		36.11
74		36.64
75		33.74
76		35.94
77		34.33
78		34.00
79		34.88
80		32.58
81		37.15
82		32.97
83		35.09
84		36.42
85		34.52
86		32.48
87		33.06
88		33.83
89		34.73
90		35.42
91		36.96
92		36.94
93		30.49
94		33.02
95		29.73
96		34.04
97		35.51
98		34.88
99		37.57
100		30.84
